"Table with row headers in column A and column headers in rows 4 through 6","","","","","","","","","","","",""
"Table A-3.
Poverty Status of People by Age, Race, and Hispanic Origin: 1959 to 2022","","","","","","","","","","","",""
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)","","","","","","","","","","","",""
"Race, Hispanic origin, and year","All people","","","Under 18 years","","","18 to 64 years","","","65 years and over","",""
"","Total","Below poverty","","Total","Below poverty","","Total","Below poverty","","Total","Below poverty",""
"","","Number","Percent","","Number","Percent","","Number","Percent","","Number","Percent"
"ALL RACES","","","","","","","","","","","",""
"2022","330,100","37,920","011.5","71,950","10,780","015.0","200,200","21,240","010.6","57,880","5,897","010.2"
"2021","328,200","37,930","011.6","72,940","11,150","015.3","199,100","20,980","010.5","56,190","5,802","010.3"
"20201","327,600","37,550","011.5","73,540","11,790","016.0","199,800","20,910","010.5","54,280","4,852","008.9"
"2019","324,800","33,980","010.5","72,640","10,470","014.4","197,500","18,660","009.4","54,640","4,858","008.9"
"2018","323,800","38,150","011.8","73,280","11,870","016.2","197,800","21,130","010.7","52,790","5,146","009.7"
"20172","322,500","39,560","012.3","73,470","12,760","017.4","198,000","21,910","011.1","51,070","4,893","009.6"
"2017","322,500","39,700","012.3","73,360","12,810","017.5","198,100","22,210","011.2","51,080","4,681","009.2"
"2016","319,900","40,620","012.7","73,590","13,250","018.0","197,100","22,800","011.6","49,270","4,568","009.3"
"2015","318,500","43,120","013.5","73,650","14,510","019.7","197,300","24,410","012.4","47,550","4,201","008.8"
"2014","315,800","46,660","014.8","73,560","15,540","021.1","196,300","26,530","013.5","45,990","4,590","010.0"
"20133","313,100","46,270","014.8","73,440","15,800","021.5","194,700","25,900","013.3","44,960","4,569","010.2"
"20134","313,000","45,320","014.5","73,630","14,660","019.9","194,800","26,430","013.6","44,510","4,231","009.5"
"2012","310,600","46,500","015.0","73,720","16,070","021.8","193,600","26,500","013.7","43,290","3,926","009.1"
"2011","308,500","46,250","015.0","73,740","16,130","021.9","193,200","26,490","013.7","41,510","3,620","008.7"
"20105","306,100","46,340","015.1","73,870","16,290","022.0","192,500","26,500","013.8","39,780","3,558","008.9"
"2009","303,800","43,570","014.3","74,580","15,450","020.7","190,600","24,680","012.9","38,610","3,433","008.9"
"2008","301,000","39,830","013.2","74,070","14,070","019.0","189,200","22,110","011.7","37,790","3,656","009.7"
"2007","298,700","37,280","012.5","74,000","13,320","018.0","187,900","20,400","010.9","36,790","3,556","009.7"
"2006","296,500","36,460","012.3","73,730","12,830","017.4","186,700","20,240","010.8","36,040","3,394","009.4"
"2005","293,100","36,950","012.6","73,290","12,900","017.6","184,300","20,450","011.1","35,510","3,603","010.1"
"20046","290,600","37,040","012.7","73,240","13,040","017.8","182,200","20,550","011.3","35,210","3,453","009.8"
"2003","287,700","35,860","012.5","73,000","12,870","017.6","180,000","19,440","010.8","34,660","3,552","010.2"
"2002","285,300","34,570","012.1","72,700","12,130","016.7","178,400","18,860","010.6","34,230","3,576","010.4"
"2001","281,500","32,910","011.7","72,020","11,730","016.3","175,700","17,760","010.1","33,770","3,414","010.1"
"20007","278,900","31,580","011.3","71,740","11,590","016.2","173,600","16,670","009.6","33,570","3,323","009.9"
"19998","276,200","32,790","011.9","71,690","12,280","017.1","171,100","17,290","010.1","33,380","3,222","009.7"
"1998","271,100","34,480","012.7","71,340","13,470","018.9","167,300","17,620","010.5","32,390","3,386","010.5"
"1997","268,500","35,570","013.3","71,070","14,110","019.9","165,300","18,090","010.9","32,080","3,376","010.5"
"1996","266,200","36,530","013.7","70,650","14,460","020.5","163,700","18,640","011.4","31,880","3,428","010.8"
"19959","263,700","36,430","013.8","70,570","14,670","020.8","161,500","18,440","011.4","31,660","3,318","010.5"
"199410","261,600","38,060","014.5","70,020","15,290","021.8","160,300","19,110","011.9","31,270","3,663","011.7"
"199311","259,300","39,270","015.1","69,290","15,730","022.7","159,200","19,780","012.4","30,780","3,755","012.2"
"199212","256,500","38,010","014.8","68,440","15,290","022.3","157,700","18,790","011.9","30,430","3,928","012.9"
"199113","251,200","35,710","014.2","65,920","14,340","021.8","154,700","17,590","011.4","30,590","3,781","012.4"
"1990","248,600","33,590","013.5","65,050","13,430","020.6","153,500","16,500","010.7","30,090","3,658","012.2"
"1989","246,000","31,530","012.8","64,140","12,590","019.6","152,300","15,580","010.2","29,570","3,363","011.4"
"198814","243,500","31,750","013.0","63,750","12,460","019.5","150,800","15,810","010.5","29,020","3,481","012.0"
"198714","241,000","32,220","013.4","63,290","12,840","020.3","149,200","15,820","010.6","28,490","3,563","012.5"
"1986","238,600","32,370","013.6","62,950","12,880","020.5","147,600","16,020","010.8","27,980","3,477","012.4"
"198515","236,600","33,060","014.0","62,880","13,010","020.7","146,400","16,600","011.3","27,320","3,456","012.6"
"198416","233,800","33,700","014.4","62,450","13,420","021.5","144,600","16,950","011.7","26,820","3,330","012.4"
"1983","231,700","35,300","015.2","62,330","13,910","022.3","143,100","17,770","012.4","26,310","3,625","013.8"
"1982","229,400","34,400","015.0","62,350","13,650","021.9","141,300","17,000","012.0","25,740","3,751","014.6"
"198117","227,200","31,820","014.0","62,450","12,510","020.0","139,500","15,460","011.1","25,230","3,853","015.3"
"1980","225,000","29,270","013.0","62,910","11,540","018.3","137,400","13,860","010.1","24,690","3,871","015.7"
"197918","222,900","26,070","011.7","63,380","10,380","016.4","135,300","12,010","008.9","24,190","3,682","015.2"
"1978","215,700","24,500","011.4","62,310","9,931","015.9","130,200","11,330","008.7","23,180","3,233","014.0"
"1977","213,900","24,720","011.6","63,140","10,290","016.2","128,300","11,320","008.8","22,470","3,177","014.1"
"1976","212,300","24,980","011.8","64,030","10,270","016.0","126,200","11,390","009.0","22,100","3,313","015.0"
"1975","210,900","25,880","012.3","65,080","11,100","017.1","124,100","11,460","009.2","21,660","3,317","015.3"
"197419","209,400","23,370","011.2","66,130","10,160","015.4","122,100","10,130","008.3","21,130","3,085","014.6"
"1973","207,600","22,970","011.1","66,960","9,642","014.4","120,100","9,977","008.3","20,600","3,354","016.3"
"197220","206,000","24,460","011.9","67,930","10,280","015.1","118,000","10,440","008.8","20,120","3,738","018.6"
"197121","204,600","25,560","012.5","68,820","10,550","015.3","115,900","10,740","009.3","19,830","4,273","021.6"
"1970","202,200","25,420","012.6","69,160","10,440","015.1","113,600","10,190","009.0","19,470","4,793","024.6"
"1969","199,500","24,150","012.1","69,090","9,691","014.0","111,500","9,669","008.7","18,900","4,787","025.3"
"1968","197,600","25,390","012.8","70,390","10,950","015.6","108,700","9,803","009.0","18,560","4,632","025.0"
"196722","195,700","27,770","014.2","70,410","11,660","016.6","107,000","10,730","010.0","18,240","5,388","029.5"
"1966","193,400","28,510","014.7","70,220","12,390","017.6","105,200","11,010","010.5","17,930","5,114","028.5"
"1965","191,400","33,190","017.3","69,990","14,680","021.0","N","N","N","N","N","N"
"1964","189,700","36,060","019.0","69,710","16,050","023.0","N","N","N","N","N","N"
"1963","187,300","36,440","019.5","69,180","16,010","023.1","N","N","N","N","N","N"
"1962","184,300","38,630","021.0","67,720","16,960","025.0","N","N","N","N","N","N"
"1961","181,300","39,630","021.9","66,120","16,910","025.6","N","N","N","N","N","N"
"1960","179,500","39,850","022.2","65,600","17,630","026.9","N","N","N","N","N","N"
"1959","176,600","39,490","022.4","64,320","17,550","027.3","96,690","16,460","017.0","15,560","5,481","035.2"
"WHITE ALONE23","","","","","","","","","","","",""
"2022","248,800","26,050","010.5","50,650","6,849","013.5","150,400","14,880","009.9","47,780","4,320","009.0"
"2021","248,900","24,920","010.0","51,690","6,631","012.8","150,700","14,050","009.3","46,550","4,236","009.1"
"20201","249,100","25,180","010.1","52,330","7,313","014.0","151,400","14,360","009.5","45,330","3,513","007.8"
"2019","248,100","22,510","009.1","52,490","6,443","012.3","149,800","12,540","008.4","45,760","3,534","007.7"
"2018","247,600","24,950","010.1","52,760","7,049","013.4","150,600","14,130","009.4","44,310","3,762","008.5"
"20172","247,300","26,030","010.5","53,100","7,796","014.7","151,200","14,650","009.7","43,000","3,577","008.3"
"2017","247,300","26,440","010.7","53,020","8,041","015.2","151,300","15,030","009.9","42,990","3,368","007.8"
"2016","246,000","27,110","011.0","53,320","8,324","015.6","151,000","15,470","010.2","41,620","3,322","008.0"
"2015","245,500","28,570","011.6","53,550","9,204","017.2","151,700","16,330","010.8","40,250","3,037","007.5"
"2014","244,300","31,090","012.7","53,640","9,602","017.9","151,600","18,090","011.9","39,050","3,400","008.7"
"20133","243,300","31,290","012.9","53,640","10,300","019.2","151,200","17,630","011.7","38,480","3,362","008.7"
"20134","243,100","29,940","012.3","53,850","8,808","016.4","151,300","17,930","011.8","37,910","3,197","008.4"
"2012","242,100","30,820","012.7","54,070","9,979","018.5","151,000","17,950","011.9","37,040","2,891","007.8"
"2011","241,300","30,850","012.8","54,190","10,100","018.6","151,400","18,010","011.9","35,730","2,739","007.7"
"20105","240,000","31,080","013.0","54,490","10,090","018.5","151,200","18,350","012.1","34,270","2,638","007.7"
"2009","242,000","29,830","012.3","56,270","9,938","017.7","152,400","17,390","011.4","33,410","2,501","007.5"
"2008","240,500","26,990","011.2","56,150","8,863","015.8","151,700","15,360","010.1","32,710","2,771","008.5"
"2007","239,100","25,120","010.5","56,420","8,395","014.9","150,900","14,140","009.4","31,840","2,590","008.1"
"2006","237,600","24,420","010.3","56,210","7,908","014.1","150,100","14,040","009.3","31,270","2,473","007.9"
"2005","235,400","24,870","010.6","56,080","8,085","014.4","148,500","14,090","009.5","30,910","2,700","008.7"
"20046","233,700","25,330","010.8","56,050","8,308","014.8","147,000","14,490","009.9","30,710","2,534","008.3"
"2003","231,900","24,270","010.5","55,780","7,985","014.3","145,800","13,620","009.3","30,300","2,666","008.8"
"2002","230,400","23,470","010.2","55,700","7,549","013.6","144,700","13,180","009.1","29,980","2,739","009.1"
"WHITE24","","","","","","","","","","","",""
"2001","229,700","22,740","009.9","56,090","7,527","013.4","143,800","12,560","008.7","29,790","2,656","008.9"
"20007","227,800","21,650","009.5","55,980","7,307","013.1","142,200","11,750","008.3","29,700","2,584","008.7"
"19998","225,400","22,170","009.8","55,830","7,639","013.7","140,000","12,090","008.6","29,550","2,446","008.3"
"1998","222,800","23,450","010.5","56,020","8,443","015.1","138,100","12,460","009.0","28,760","2,555","008.9"
"1997","221,200","24,400","011.0","55,860","8,990","016.1","136,800","12,840","009.4","28,550","2,569","009.0"
"1996","219,700","24,650","011.2","55,610","9,044","016.3","135,600","12,940","009.5","28,460","2,667","009.4"
"19959","218,000","24,420","011.2","55,440","8,981","016.2","134,100","12,870","009.6","28,440","2,572","009.0"
"199410","216,500","25,380","011.7","55,190","9,346","016.9","133,300","13,190","009.9","27,990","2,846","010.2"
"199311","214,900","26,230","012.2","54,640","9,752","017.8","132,700","13,540","010.2","27,580","2,939","010.7"
"199212","213,100","25,260","011.9","54,110","9,399","017.4","131,700","12,870","009.8","27,260","2,989","011.0"
"199113","210,100","23,750","011.3","52,520","8,848","016.8","130,300","12,100","009.3","27,300","2,802","010.3"
"1990","208,600","22,330","010.7","51,930","8,232","015.9","129,800","11,390","008.8","26,900","2,707","010.1"
"1989","206,900","20,790","010.0","51,400","7,599","014.8","129,000","10,650","008.3","26,480","2,539","009.6"
"198814","205,200","20,720","010.1","51,200","7,435","014.5","128,000","10,690","008.3","26,000","2,593","010.0"
"198714","203,600","21,200","010.4","51,010","7,788","015.3","127,000","10,700","008.4","25,600","2,704","010.6"
"1986","202,300","22,180","011.0","51,110","8,209","016.1","126,000","11,290","009.0","25,170","2,689","010.7"
"198515","200,900","22,860","011.4","51,030","8,253","016.2","125,300","11,910","009.5","24,630","2,698","011.0"
"198416","198,900","22,960","011.5","50,810","8,472","016.7","123,900","11,900","009.6","24,210","2,579","010.7"
"1983","197,500","23,980","012.1","50,730","8,862","017.5","123,000","12,350","010.0","23,750","2,776","011.7"
"1982","195,900","23,520","012.0","50,920","8,678","017.0","121,800","11,970","009.8","23,230","2,870","012.4"
"198117","194,500","21,550","011.1","51,140","7,785","015.2","120,600","10,790","008.9","22,790","2,978","013.1"
"1980","192,900","19,700","010.2","51,650","7,181","013.9","118,900","9,478","008.0","22,330","3,042","013.6"
"197918","191,700","17,210","009.0","52,260","6,193","011.8","117,600","8,110","006.9","21,900","2,911","013.3"
"1978","186,500","16,260","008.7","51,670","5,831","011.3","113,800","7,897","006.9","20,950","2,530","012.1"
"1977","185,300","16,420","008.9","52,560","6,097","011.6","112,400","7,893","007.0","20,320","2,426","011.9"
"1976","184,200","16,710","009.1","53,430","6,189","011.6","110,700","7,890","007.1","20,020","2,633","013.2"
"1975","183,200","17,770","009.7","54,410","6,927","012.7","109,100","8,210","007.5","19,650","2,634","013.4"
"197419","182,400","15,740","008.6","55,590","6,223","011.2","107,600","7,053","006.6","19,210","2,460","012.8"
"1973","181,200","15,140","008.4","N","N","N","N","N","N","N","2,698","014.4"
"197220","180,100","16,200","009.0","N","N","N","N","N","N","N","3,072","016.8"
"197121","179,400","17,780","009.9","N","N","N","N","N","N","N","3,605","019.9"
"1970","177,400","17,480","009.9","N","N","N","N","N","N","N","4,011","022.6"
"1969","175,300","16,660","009.5","N","N","N","N","N","N","N","4,052","023.3"
"1968","173,700","17,400","010.0","N","N","N","N","N","N","17,060","3,939","023.1"
"196722","172,000","18,980","011.0","N","N","N","N","N","N","16,790","4,646","027.7"
"1966","170,200","19,290","011.3","N","N","N","N","N","N","16,510","4,357","026.4"
"1965","168,700","22,500","013.3","N","N","N","N","N","N","N","N","N"
"1960","158,900","28,310","017.8","N","N","N","N","N","N","N","N","N"
"1959","157,000","28,480","018.1","N","N","N","N","N","N","N","4,744","033.1"
"WHITE ALONE, NOT HISPANIC23","","","","","","","","","","","",""
"2022","193,200","16,690","008.6","34,930","3,371","009.7","115,300","9,805","008.5","42,970","3,510","008.2"
"2021","194,300","15,810","008.1","35,900","3,162","008.8","116,600","9,289","008.0","41,850","3,354","008.0"
"20201","195,100","16,040","008.2","36,450","3,593","009.9","117,800","9,677","008.2","40,860","2,768","006.8"
"2019","194,600","14,150","007.3","36,390","3,030","008.3","116,800","8,321","007.1","41,440","2,801","006.8"
"2018","194,800","15,730","008.1","36,620","3,265","008.9","118,000","9,510","008.1","40,220","2,951","007.3"
"20172","195,200","16,620","008.5","37,120","3,793","010.2","119,000","9,884","008.3","39,130","2,942","007.5"
"2017","195,300","16,990","008.7","37,050","4,026","010.9","119,100","10,230","008.6","39,130","2,737","007.0"
"2016","195,200","17,260","008.8","37,490","4,050","010.8","119,800","10,530","008.8","37,950","2,687","007.1"
"2015","195,500","17,790","009.1","37,860","4,563","012.1","120,900","10,810","008.9","36,680","2,411","006.6"
"2014","195,200","19,650","010.1","38,060","4,679","012.3","121,400","12,170","010.0","35,730","2,801","007.8"
"20133","195,100","19,550","010.0","38,170","5,116","013.4","121,600","11,690","009.6","35,320","2,745","007.8"
"20134","195,200","18,800","009.6","38,400","4,094","010.7","122,000","12,130","009.9","34,780","2,569","007.4"
"2012","195,100","18,940","009.7","38,760","4,782","012.3","122,200","11,830","009.7","34,130","2,324","006.8"
"2011","195,000","19,170","009.8","38,960","4,850","012.5","123,100","12,110","009.8","32,900","2,210","006.7"
"20105","194,800","19,250","009.9","39,440","4,866","012.3","123,700","12,230","009.9","31,620","2,155","006.8"
"2009","197,200","18,530","009.4","40,920","4,850","011.9","125,500","11,660","009.3","30,740","2,022","006.6"
"2008","196,900","17,020","008.6","41,310","4,364","010.6","125,500","10,380","008.3","30,150","2,280","007.6"
"2007","196,600","16,030","008.2","41,980","4,255","010.1","125,200","9,598","007.7","29,440","2,179","007.4"
"2006","196,000","16,010","008.2","42,210","4,208","010.0","124,800","9,761","007.8","28,990","2,044","007.0"
"2005","195,600","16,230","008.3","42,520","4,254","010.0","124,300","9,708","007.8","28,700","2,264","007.9"
"20046","195,100","16,910","008.7","42,980","4,519","010.5","123,500","10,240","008.3","28,640","2,153","007.5"
"2003","194,600","15,900","008.2","43,150","4,233","009.8","123,100","9,391","007.6","28,340","2,277","008.0"
"2002","194,100","15,570","008.0","43,610","4,090","009.4","122,500","9,157","007.5","28,020","2,321","008.3"
"WHITE, NOT HISPANIC24","","","","","","","","","","","",""
"2001","194,500","15,270","007.8","44,100","4,194","009.5","122,500","8,811","007.2","27,970","2,266","008.1"
"20007","193,700","14,370","007.4","44,240","4,018","009.1","121,500","8,130","006.7","27,950","2,218","007.9"
"19998","192,600","14,740","007.7","44,270","4,155","009.4","120,300","8,462","007.0","27,950","2,118","007.6"
"1998","192,800","15,800","008.2","45,360","4,822","010.6","120,300","8,760","007.3","27,120","2,217","008.2"
"1997","191,900","16,490","008.6","45,490","5,204","011.4","119,400","9,088","007.6","27,000","2,200","008.1"
"1996","191,500","16,460","008.6","45,610","5,072","011.1","118,800","9,074","007.6","27,030","2,316","008.6"
"19959","191,000","16,270","008.5","45,690","5,115","011.2","118,200","8,908","007.5","27,030","2,243","008.3"
"199410","192,500","18,110","009.4","46,670","5,823","012.5","119,200","9,732","008.2","26,680","2,556","009.6"
"199311","190,800","18,880","009.9","46,100","6,255","013.6","118,500","9,964","008.4","26,270","2,663","010.1"
"199212","189,000","18,200","009.6","45,590","6,017","013.2","117,400","9,461","008.1","26,030","2,724","010.5"
"199113","189,100","17,740","009.4","45,240","5,918","013.1","117,700","9,244","007.9","26,210","2,580","009.8"
"1990","188,100","16,620","008.8","44,800","5,532","012.3","117,500","8,619","007.3","25,850","2,471","009.6"
"1989","187,000","15,600","008.3","44,490","5,110","011.5","117,000","8,154","007.0","25,500","2,335","009.2"
"198814","186,000","15,570","008.4","44,440","4,888","011.0","116,500","8,293","007.1","25,040","2,384","009.5"
"198714","184,900","16,030","008.7","44,460","5,230","011.8","115,700","8,327","007.2","24,750","2,472","010.0"
"1986","184,100","17,240","009.4","44,660","5,789","013.0","115,200","8,963","007.8","24,300","2,492","010.3"
"198515","183,500","17,840","009.7","44,750","5,745","012.8","115,000","9,608","008.4","23,730","2,486","010.5"
"198416","182,500","18,300","010.0","44,890","6,156","013.7","114,200","9,734","008.5","23,400","2,410","010.3"
"1983","181,400","19,540","010.8","44,830","6,649","014.8","113,600","10,280","009.1","22,990","2,610","011.4"
"1982","181,900","19,360","010.6","45,530","6,566","014.4","113,700","10,080","008.9","22,660","2,714","012.0"
"198117","180,900","17,990","009.9","45,950","5,946","012.9","112,700","9,207","008.2","22,240","2,834","012.7"
"1980","179,800","16,370","009.1","46,580","5,510","011.8","111,500","7,990","007.2","21,760","2,865","013.2"
"197918","178,800","14,420","008.1","46,970","4,730","010.1","110,500","6,930","006.3","21,340","2,759","012.9"
"1978","174,700","13,760","007.9","46,820","4,506","009.6","107,500","6,837","006.4","20,430","2,412","011.8"
"1977","173,600","13,800","008.0","47,690","4,714","009.9","106,100","6,772","006.4","19,810","2,316","011.7"
"1976","173,200","14,030","008.1","48,820","4,799","009.8","104,800","6,720","006.4","19,570","2,506","012.8"
"1975","172,400","14,880","008.6","49,670","5,342","010.8","103,500","7,039","006.8","19,250","2,503","013.0"
"197419","171,500","13,220","007.7","50,760","4,820","009.5","101,900","6,051","005.9","18,810","2,346","012.5"
"BLACK ALONE OR IN COMBINATION","","","","","","","","","","","",""
"2022","49,100","8,353","017.0","13,540","2,929","021.6","29,460","4,353","014.8","6,097","1,070","017.5"
"2021","48,230","9,298","019.3","13,440","3,484","025.9","28,940","4,776","016.5","5,845","1,038","017.8"
"20201","48,260","9,311","019.3","13,570","3,575","026.3","29,200","4,797","016.4","5,487","939","017.1"
"2019","47,260","8,836","018.7","13,020","3,338","025.6","28,840","4,531","015.7","5,394","966","017.9"
"2018","46,830","9,695","020.7","13,220","3,773","028.5","28,420","4,948","017.4","5,180","975","018.8"
"20172","46,340","10,050","021.7","13,160","3,903","029.7","28,230","5,216","018.5","4,942","930","018.8"
"2017","46,390","9,820","021.2","13,190","3,731","028.3","28,250","5,142","018.2","4,952","948","019.1"
"2016","45,680","9,965","021.8","13,190","3,916","029.7","27,830","5,186","018.6","4,660","864","018.5"
"2015","45,230","10,800","023.9","13,130","4,146","031.6","27,650","5,835","021.1","4,447","816","018.4"
"2014","44,570","11,580","026.0","12,880","4,639","036.0","27,440","6,137","022.4","4,249","805","019.0"
"20133","44,150","11,160","025.3","13,040","4,359","033.4","27,060","6,031","022.3","4,054","772","019.0"
"20134","44,110","11,960","027.1","13,100","4,838","036.9","26,920","6,410","023.8","4,085","712","017.4"
"2012","43,580","11,810","027.1","13,110","4,815","036.7","26,480","6,265","023.7","3,993","730","018.3"
"2011","42,650","11,730","027.5","12,970","4,849","037.4","25,960","6,241","024.0","3,718","640","017.2"
"20105","42,390","11,600","027.4","13,020","4,923","037.8","25,820","6,031","023.4","3,555","643","018.1"
"2009","40,880","10,580","025.9","12,660","4,480","035.4","24,820","5,441","021.9","3,405","655","019.2"
"2008","40,100","9,882","024.6","12,390","4,202","033.9","24,400","5,017","020.6","3,305","663","020.0"
"2007","39,560","9,668","024.4","12,380","4,178","033.7","23,970","4,742","019.8","3,215","748","023.3"
"2006","39,010","9,447","024.2","12,380","4,086","033.0","23,510","4,652","019.8","3,128","710","022.7"
"2005","38,550","9,517","024.7","12,160","4,074","033.5","23,340","4,735","020.3","3,053","708","023.2"
"20046","38,040","9,411","024.7","12,190","4,059","033.3","22,840","4,638","020.3","3,005","714","023.8"
"2003","37,500","9,108","024.3","12,220","4,108","033.6","22,360","4,313","019.3","2,933","688","023.5"
"2002","37,210","8,884","023.9","12,110","3,817","031.5","22,170","4,376","019.7","2,922","691","023.6"
"BLACK ALONE25","","","","","","","","","","","",""
"2022","44,520","7,626","017.1","11,170","2,491","022.3","27,450","4,097","014.9","5,897","1,038","017.6"
"2021","43,980","8,583","019.5","11,190","3,056","027.3","27,110","4,519","016.7","5,675","1,008","017.8"
"20201","43,690","8,556","019.6","11,170","3,086","027.6","27,200","4,552","016.7","5,328","919","017.2"
"2019","42,970","8,073","018.8","10,850","2,865","026.4","26,860","4,261","015.9","5,257","947","018.0"
"2018","42,770","8,884","020.8","11,080","3,273","029.5","26,640","4,660","017.5","5,045","951","018.9"
"20172","42,480","9,224","021.7","11,010","3,350","030.4","26,650","4,960","018.6","4,827","915","019.0"
"2017","42,470","8,993","021.2","10,990","3,184","029.0","26,650","4,877","018.3","4,834","932","019.3"
"2016","41,960","9,234","022.0","11,120","3,418","030.8","26,290","4,963","018.9","4,561","853","018.7"
"2015","41,630","10,020","024.1","11,090","3,651","032.9","26,190","5,568","021.3","4,343","801","018.4"
"2014","41,110","10,760","026.2","11,020","4,090","037.1","25,950","5,869","022.6","4,143","796","019.2"
"20133","40,500","10,190","025.2","11,000","3,708","033.7","25,560","5,742","022.5","3,933","736","018.7"
"20134","40,620","11,040","027.2","11,090","4,244","038.3","25,550","6,099","023.9","3,975","698","017.6"
"2012","40,130","10,910","027.2","11,080","4,201","037.9","25,150","6,002","023.9","3,893","708","018.2"
"2011","39,610","10,930","027.6","11,140","4,320","038.8","24,830","5,980","024.1","3,640","630","017.3"
"20105","39,280","10,750","027.4","11,170","4,355","039.0","24,670","5,775","023.4","3,443","617","017.9"
"2009","38,560","9,944","025.8","11,280","4,033","035.7","23,950","5,264","022.0","3,320","647","019.5"
"2008","37,970","9,379","024.7","11,170","3,878","034.7","23,570","4,855","020.6","3,229","646","020.0"
"2007","37,670","9,237","024.5","11,300","3,904","034.5","23,210","4,602","019.8","3,150","731","023.2"
"2006","37,310","9,048","024.3","11,320","3,777","033.4","22,910","4,570","019.9","3,085","701","022.7"
"2005","36,800","9,168","024.9","11,140","3,841","034.5","22,660","4,627","020.4","3,007","701","023.3"
"20046","36,430","9,014","024.7","11,240","3,788","033.7","22,230","4,521","020.3","2,956","705","023.8"
"2003","35,990","8,781","024.4","11,370","3,877","034.1","21,750","4,224","019.4","2,876","680","023.7"
"2002","35,680","8,602","024.1","11,280","3,645","032.3","21,550","4,277","019.9","2,856","680","023.8"
"BLACK24","","","","","","","","","","","",""
"2001","35,870","8,136","022.7","11,560","3,492","030.2","21,460","4,018","018.7","2,853","626","021.9"
"20007","35,430","7,982","022.5","11,480","3,581","031.2","21,160","3,794","017.9","2,785","607","021.8"
"19998","35,760","8,441","023.6","11,490","3,813","033.2","21,520","4,000","018.6","2,750","628","022.8"
"1998","34,880","9,091","026.1","11,320","4,151","036.7","20,840","4,222","020.3","2,723","718","026.4"
"1997","34,460","9,116","026.5","11,370","4,225","037.2","20,400","4,191","020.5","2,691","700","026.0"
"1996","34,110","9,694","028.4","11,340","4,519","039.9","20,160","4,515","022.4","2,616","661","025.3"
"19959","33,740","9,872","029.3","11,370","4,761","041.9","19,890","4,483","022.5","2,478","629","025.4"
"199410","33,350","10,200","030.6","11,210","4,906","043.8","19,590","4,590","023.4","2,557","700","027.4"
"199311","32,910","10,880","033.1","11,130","5,125","046.1","19,270","5,049","026.2","2,510","702","028.0"
"199212","32,410","10,830","033.4","10,960","5,106","046.6","18,950","4,884","025.8","2,504","838","033.5"
"199113","31,310","10,240","032.7","10,350","4,755","045.9","18,360","4,607","025.1","2,606","880","033.8"
"1990","30,810","9,837","031.9","10,160","4,550","044.8","18,100","4,427","024.5","2,547","860","033.8"
"1989","30,330","9,302","030.7","10,010","4,375","043.7","17,830","4,164","023.3","2,487","763","030.7"
"198814","29,850","9,356","031.3","9,865","4,296","043.5","17,550","4,275","024.4","2,436","785","032.2"
"198714","29,360","9,520","032.4","9,730","4,385","045.1","17,250","4,361","025.3","2,387","774","032.4"
"1986","28,870","8,983","031.1","9,629","4,148","043.1","16,910","4,113","024.3","2,331","722","031.0"
"198515","28,490","8,926","031.3","9,545","4,157","043.6","16,670","4,052","024.3","2,273","717","031.5"
"198416","28,090","9,490","033.8","9,480","4,413","046.6","16,370","4,368","026.7","2,238","710","031.7"
"1983","27,680","9,882","035.7","9,417","4,398","046.7","16,070","4,694","029.2","2,197","791","036.0"
"1982","27,220","9,697","035.6","9,400","4,472","047.6","15,690","4,415","028.1","2,124","811","038.2"
