"Table with row headers in column A and column headers in rows 4 through 6","","","","","","","","","","","",""
"198117","26,830","9,173","034.2","9,374","4,237","045.2","15,360","4,117","026.8","2,102","820","039.0"
"1980","26,410","8,579","032.5","9,368","3,961","042.3","14,990","3,835","025.6","2,054","783","038.1"
"197918","25,940","8,050","031.0","9,307","3,833","041.2","14,600","3,478","023.8","2,040","740","036.2"
"1978","24,960","7,625","030.6","9,229","3,830","041.5","13,770","3,133","022.7","1,954","662","033.9"
"1977","24,710","7,726","031.3","9,296","3,888","041.8","13,480","3,137","023.3","1,930","701","036.3"
"1976","24,400","7,595","031.1","9,322","3,787","040.6","13,220","3,163","023.9","1,852","644","034.8"
"1975","24,090","7,545","031.3","9,421","3,925","041.7","12,870","2,968","023.1","1,795","652","036.3"
"197419","23,700","7,182","030.3","9,439","3,755","039.8","12,540","2,836","022.6","1,721","591","034.3"
"1973","23,510","7,388","031.4","N","N","N","N","N","N","1,672","620","037.1"
"197220","23,140","7,710","033.3","N","N","N","N","N","N","1,603","640","039.9"
"197121","22,780","7,396","032.5","N","N","N","N","N","N","1,584","623","039.3"
"1970","22,520","7,548","033.5","N","N","N","N","N","N","1,422","683","048.0"
"1969","22,010","7,095","032.2","N","N","N","N","N","N","1,373","689","050.2"
"1968","21,940","7,616","034.7","N","N","N","N","N","N","1,374","655","047.7"
"196722","21,590","8,486","039.3","N","N","N","N","N","N","1,341","715","053.3"
"1966","21,210","8,867","041.8","N","N","N","N","N","N","1,311","722","055.1"
"1965","N","N","N","N","N","N","N","N","N","N","711","062.5"
"ASIAN ALONE OR IN COMBINATION","","","","","","","","","","","",""
"2022","24,310","2,002","008.2","5,678","441","007.8","15,510","1,164","007.5","3,127","398","012.7"
"2021","23,450","2,112","009.0","5,612","452","008.1","14,830","1,257","008.5","3,011","403","013.4"
"20201","22,920","1,827","008.0","5,565","445","008.0","14,610","1,071","007.3","2,747","311","011.3"
"2019","22,440","1,588","007.1","5,234","329","006.3","14,480","1,007","007.0","2,724","252","009.3"
"2018","22,050","2,166","009.8","5,158","538","010.4","14,350","1,334","009.3","2,539","294","011.6"
"20172","21,560","2,063","009.6","5,170","524","010.1","13,990","1,259","009.0","2,392","280","011.7"
"2017","21,510","2,104","009.8","5,133","537","010.5","13,970","1,303","009.3","2,408","263","010.9"
"2016","20,760","2,062","009.9","4,922","495","010.1","13,580","1,301","009.6","2,253","266","011.8"
"2015","20,040","2,234","011.1","4,728","539","011.4","13,130","1,443","011.0","2,176","252","011.6"
"2014","19,690","2,268","011.5","4,792","577","012.0","12,830","1,390","010.8","2,059","301","014.6"
"20133","19,180","2,398","012.5","4,900","628","012.8","12,390","1,457","011.8","1,889","312","016.5"
"20134","19,020","1,974","010.4","4,740","457","009.6","12,370","1,258","010.2","1,910","259","013.6"
"2012","18,170","2,072","011.4","4,557","570","012.5","11,910","1,291","010.8","1,703","211","012.4"
"2011","17,810","2,189","012.3","4,572","607","013.3","11,660","1,397","012.0","1,581","185","011.7"
"20105","17,240","2,064","012.0","4,308","586","013.6","11,410","1,265","011.1","1,515","214","014.1"
"2009","15,270","1,901","012.4","3,996","531","013.3","9,898","1,154","011.7","1,378","216","015.7"
"2008","14,540","1,686","011.6","3,717","494","013.3","9,507","1,031","010.8","1,319","162","012.3"
"2007","14,430","1,467","010.2","3,606","431","011.9","9,531","892","009.4","1,293","144","011.2"
"2006","14,330","1,447","010.1","3,573","408","011.4","9,553","897","009.4","1,205","142","011.8"
"2005","13,730","1,501","010.9","3,472","359","010.3","9,115","999","011.0","1,144","144","012.6"
"20046","13,290","1,295","009.7","3,406","329","009.7","8,780","819","009.3","1,104","147","013.3"
"2003","12,890","1,527","011.8","3,316","420","012.7","8,510","956","011.2","1,065","152","014.2"
"2002","12,490","1,243","010.0","3,199","353","011.0","8,292","804","009.7","995","86","008.7"
"ASIAN ALONE26","","","","","","","","","","","",""
"2022","21,590","1,866","008.6","4,267","377","008.8","14,290","1,097","007.7","3,034","392","012.9"
"2021","20,680","1,922","009.3","4,199","371","008.8","13,580","1,167","008.6","2,900","385","013.3"
"20201","20,350","1,645","008.1","4,284","358","008.4","13,420","985","007.3","2,646","302","011.4"
"2019","19,930","1,464","007.3","3,916","286","007.3","13,370","932","007.0","2,638","246","009.3"
"2018","19,770","1,996","010.1","3,998","453","011.3","13,290","1,254","009.4","2,479","289","011.7"
"20172","19,530","1,891","009.7","4,058","420","010.4","13,120","1,193","009.1","2,348","277","011.8"
"2017","19,480","1,953","010.0","4,019","455","011.3","13,100","1,244","009.5","2,358","255","010.8"
"2016","18,880","1,908","010.1","3,875","430","011.1","12,800","1,217","009.5","2,209","261","011.8"
"2015","18,240","2,078","011.4","3,786","466","012.3","12,330","1,360","011.0","2,130","252","011.8"
"2014","17,790","2,137","012.0","3,750","524","014.0","12,010","1,314","010.9","2,029","299","014.7"
"20133","17,260","2,255","013.1","3,766","555","014.7","11,650","1,393","012.0","1,845","307","016.7"
"20134","17,060","1,785","010.5","3,651","367","010.1","11,530","1,162","010.1","1,881","256","013.6"
"2012","16,420","1,921","011.7","3,596","497","013.8","11,150","1,220","010.9","1,669","205","012.3"
"2011","16,090","1,973","012.3","3,657","494","013.5","10,870","1,297","011.9","1,555","182","011.7"
"20105","15,610","1,899","012.2","3,431","494","014.4","10,700","1,191","011.1","1,484","214","014.4"
"2009","14,010","1,746","012.5","3,311","463","014.0","9,344","1,069","011.4","1,350","213","015.8"
"2008","13,310","1,576","011.8","3,052","446","014.6","8,961","974","010.9","1,296","157","012.1"
"2007","13,260","1,349","010.2","2,980","374","012.5","9,012","832","009.2","1,265","143","011.3"
"2006","13,180","1,353","010.3","2,956","360","012.2","9,039","851","009.4","1,182","142","012.0"
"2005","12,580","1,402","011.1","2,871","317","011.1","8,591","941","011.0","1,118","143","012.8"
"20046","12,230","1,201","009.8","2,854","281","009.9","8,294","774","009.3","1,083","146","013.5"
"2003","11,860","1,401","011.8","2,759","344","012.5","8,044","907","011.3","1,052","151","014.3"
"2002","11,540","1,161","010.1","2,683","315","011.7","7,881","764","009.7","977","82","008.4"
"ASIAN AND PACIFIC ISLANDER24","","","","","","","","","","","",""
"2001","12,470","1,275","010.2","3,215","369","011.5","8,352","814","009.7","899","92","010.2"
"20007","12,670","1,258","009.9","3,294","420","012.7","8,500","756","008.9","878","82","009.3"
"19998","11,960","1,285","010.7","3,212","381","011.9","7,879","807","010.2","864","96","011.1"
"1998","10,870","1,360","012.5","3,137","564","018.0","6,951","698","010.0","785","97","012.4"
"1997","10,480","1,468","014.0","3,096","628","020.3","6,680","753","011.3","705","87","012.3"
"1996","10,050","1,454","014.5","2,924","571","019.5","6,484","821","012.7","647","63","009.7"
"19959","9,644","1,411","014.6","2,900","564","019.5","6,123","757","012.4","622","89","014.3"
"199410","6,654","974","014.6","1,739","318","018.3","4,401","589","013.4","513","67","013.0"
"199311","7,434","1,134","015.3","2,061","375","018.2","4,871","680","014.0","503","79","015.6"
"199212","7,779","985","012.7","2,218","363","016.4","5,067","568","011.2","494","53","010.8"
"199113","7,192","996","013.8","2,056","360","017.5","4,582","565","012.3","555","70","012.7"
"1990","7,014","858","012.2","2,126","374","017.6","4,375","422","009.6","514","62","012.1"
"1989","6,673","939","014.1","1,983","392","019.8","4,225","512","012.1","465","34","007.4"
"198814","6,447","1,117","017.3","1,970","474","024.1","4,035","583","014.4","442","60","013.5"
"198714","6,322","1,021","016.1","1,937","455","023.5","4,010","510","012.7","375","56","015.0"
"AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION","","","","","","","","","","","",""
"2022","7,099","1,423","020.0","2,068","551","026.6","4,224","770","018.2","808","102","012.6"
"2021","7,066","1,550","021.9","2,148","570","026.6","4,111","847","020.6","807","133","016.5"
"20201","6,758","1,111","016.4","1,976","411","020.8","4,079","615","015.1","703","85","012.1"
"2019","6,541","1,062","016.2","1,896","343","018.1","3,926","611","015.6","719","107","014.9"
"2018","6,816","1,335","019.6","2,023","497","024.6","4,072","721","017.7","721","117","016.2"
"20172","6,914","1,401","020.3","2,016","549","027.2","4,193","743","017.7","706","110","015.6"
"2017","6,914","1,356","019.6","2,002","521","026.0","4,210","730","017.3","702","105","014.9"
"2016","6,836","1,387","020.3","2,067","518","025.1","4,090","757","018.5","679","113","016.6"
"2015","7,111","1,507","021.2","2,194","620","028.3","4,281","790","018.5","636","97","015.3"
"2014","6,679","1,526","022.8","2,138","620","029.0","3,937","823","020.9","604","83","013.7"
"20133","5,831","1,372","023.5","1,793","525","029.3","3,518","727","020.7","519","121","023.2"
"20134","6,368","1,490","023.4","1,971","599","030.4","3,841","821","021.4","556","69","012.5"
"2012","6,284","1,759","028.0","1,924","712","037.0","3,831","961","025.1","529","86","016.3"
"2011","6,224","1,515","024.3","1,967","615","031.3","3,808","845","022.2","450","55","012.2"
"20105","6,073","1,552","025.6","2,023","690","034.1","3,617","793","021.9","434","69","015.9"
"2009","5,244","1,218","023.2","1,637","505","030.9","3,198","659","020.6","409","53","012.9"
"2008","5,471","1,211","022.1","1,747","491","028.1","3,281","652","019.9","443","67","015.2"
"2007","5,292","1,076","020.3","1,566","357","022.8","3,286","635","019.3","440","84","019.0"
"2006","5,133","1,148","022.4","1,538","446","029.0","3,173","632","019.9","422","71","016.8"
"2005","5,233","1,093","020.9","1,603","404","025.2","3,230","637","019.7","401","53","013.2"
"20046","5,269","1,027","019.5","1,560","371","023.8","3,319","597","018.0","391","59","015.0"
"2003","5,061","940","018.6","1,625","384","023.6","3,087","508","016.4","349","48","013.8"
"2002","4,844","952","019.6","1,615","405","025.1","2,907","482","016.6","321","64","020.0"
"AMERICAN INDIAN AND ALASKA NATIVE ALONE27","","","","","","","","","","","",""
"2022","3,983","995","025.0","1,041","387","037.1","2,509","544","021.7","433","65","014.9"
"2021","4,109","998","024.3","1,154","341","029.6","2,539","574","022.6","415","82","019.7"
"20201","3,950","791","020.0","1,098","278","025.4","2,466","454","018.4","386","59","015.3"
"2019","3,735","677","018.1","1,036","223","021.5","2,301","369","016.1","398","85","021.3"
"2018","3,663","808","022.1","986","278","028.2","2,325","465","020.0","351","66","018.7"
"20172","3,616","790","021.8","959","278","029.0","2,323","455","019.6","335","57","017.1"
"2017","3,619","750","020.7","948","253","026.7","2,335","438","018.8","336","58","017.3"
"2016","3,701","811","021.9","1,042","265","025.5","2,326","475","020.4","333","71","021.2"
"2015","4,269","995","023.3","1,298","399","030.8","2,649","536","020.3","323","59","018.4"
"2014","3,808","1,013","026.6","1,175","415","035.3","2,317","540","023.3","315","58","018.3"
"20133","3,074","837","027.2","958","295","030.8","1,868","468","025.0","249","75","030.0"
"20134","3,344","914","027.3","964","337","034.9","2,114","549","025.9","266","29","010.7"
"2012","3,459","1,184","034.2","1,048","473","045.1","2,135","651","030.5","276","60","021.7"
"2011","3,210","917","028.6","943","360","038.2","2,060","530","025.7","207","27","013.0"
"20105","3,076","886","028.8","938","367","039.1","1,964","492","025.0","174","28","015.9"
"2009","2,671","732","027.4","813","286","035.1","1,689","413","024.4","169","34","020.0"
"2008","2,845","770","027.1","887","328","037.0","1,770","408","023.1","188","34","018.0"
"2007","2,742","649","023.7","790","207","026.2","1,743","393","022.6","209","49","023.3"
"2006","2,536","744","029.3","734","285","038.8","1,637","413","025.2","166","47","028.2"
"2005","2,238","603","026.9","675","219","032.5","1,426","357","025.1","137","26","018.9"
"20046","2,319","584","025.2","685","207","030.2","1,478","350","023.7","156","28","017.8"
"2003","2,240","532","023.8","725","218","030.0","1,385","290","020.9","131","25","019.1"
"2002","2,273","547","024.1","764","250","032.8","1,385","268","019.3","125","29","023.6"
"AMERICAN INDIAN AND ALASKA NATIVE24","","","","","","","","","","","",""
"2001","3,463","757","021.9","1,161","344","029.6","2,075","374","018.0","227","40","017.4"
"20007","3,001","696","023.2","988","279","028.2","1,813","367","020.2","199","50","025.1"
"19998","3,135","897","028.6","1,152","448","038.9","1,774","397","022.4","210","52","024.7"
"1998","2,472","571","023.1","867","308","035.5","1,478","247","016.7","127","16","012.7"
"1997","2,340","594","025.4","741","270","036.4","1,466","303","020.7","133","21","015.7"
"1996","2,399","731","030.5","782","330","042.2","1,466","364","024.9","150","37","024.5"
"19959","2,321","718","031.0","853","358","042.0","1,344","331","024.6","124","29","023.3"
"199410","1,482","392","026.4","448","165","036.9","940","209","022.2","95","18","018.6"
"199311","1,690","399","023.6","514","172","033.5","1,064","208","019.6","111","19","017.3"
"199212","2,054","600","029.2","648","245","037.8","1,275","319","025.0","130","36","027.9"
"199113","1,793","562","031.3","670","292","043.5","1,015","245","024.1","108","26","023.7"
"1990","1,560","444","028.5","563","211","037.4","892","210","023.5","104","23","022.1"
"1989","1,445","345","023.9","507","161","031.8","839","160","019.0","100","24","024.2"
"198814","1,454","440","030.2","500","198","039.5","843","210","024.9","110","32","028.7"
"198714","1,345","387","028.8","488","178","036.6","747","185","024.8","110","23","021.3"
"TWO OR MORE RACES24","","","","","","","","","","","",""
"2022","9,674","1,180","012.2","4,501","611","013.6","4,564","496","010.9","609","73","012.0"
"2021","9,166","1,298","014.2","4,349","673","015.5","4,230","541","012.8","587","83","014.2"
"20201","9,220","1,209","013.1","4,293","690","016.1","4,424","471","010.6","503","48","009.6"
"2019","8,920","1,135","012.7","4,084","595","014.6","4,330","501","011.6","506","38","007.6"
"2018","8,793","1,381","015.7","4,126","763","018.5","4,159","552","013.3","508","65","012.8"
"20172","8,423","1,441","017.1","3,981","835","021.0","3,975","546","013.7","467","60","012.9"
"2017","8,475","1,408","016.6","4,011","808","020.2","3,995","541","013.5","469","59","012.7"
"2016","8,094","1,312","016.2","3,879","736","019.0","3,764","521","013.8","451","55","012.3"
"2015","7,622","1,323","017.4","3,658","736","020.1","3,556","543","015.3","408","44","010.8"
"2014","7,473","1,352","018.1","3,580","748","020.9","3,521","573","016.3","372","32","008.6"
"20133","7,739","1,562","020.2","3,775","900","023.9","3,564","584","016.4","400","78","019.5"
"20134","7,731","1,450","018.8","3,789","832","022.0","3,550","569","016.0","392","49","012.4"
"2012","7,349","1,462","019.9","3,598","843","023.4","3,404","571","016.8","347","48","013.8"
"2011","7,166","1,443","020.1","3,482","806","023.1","3,361","601","017.9","323","36","011.1"
"20105","7,172","1,507","021.0","3,534","888","025.1","3,285","560","017.0","353","59","016.8"
"2009","5,715","1,168","020.4","2,700","683","025.3","2,699","456","016.9","316","29","009.1"
"2008","5,502","941","017.1","2,570","488","019.0","2,625","409","015.6","307","44","014.3"
"2007","5,172","845","016.3","2,321","423","018.2","2,567","383","014.9","284","40","013.9"
"2006","5,103","811","015.9","2,333","465","019.9","2,475","316","012.8","295","30","010.2"
"2005","5,472","839","015.3","2,395","421","017.6","2,773","390","014.1","305","29","009.4"
"20046","5,298","847","016.0","2,272","436","019.2","2,752","374","013.6","274","37","013.4"
"2003","5,053","771","015.2","2,192","414","018.9","2,609","330","012.7","252","26","010.4"
"2002","4,670","686","014.7","2,085","339","016.3","2,346","308","013.1","238","39","016.4"
"HISPANIC (ANY RACE)28","","","","","","","","","","","",""
"2022","63,800","10,780","016.9","18,680","4,057","021.7","39,680","5,804","014.6","5,426","915","016.9"
"2021","62,480","10,690","017.1","18,650","4,168","022.4","38,620","5,547","014.4","5,213","975","018.7"
"20201","61,770","10,520","017.0","18,770","4,338","023.1","38,090","5,369","014.1","4,906","813","016.6"
"2019","60,600","9,545","015.7","18,610","3,888","020.9","37,210","4,836","013.0","4,787","821","017.1"
"2018","59,960","10,530","017.6","18,740","4,436","023.7","36,670","5,205","014.2","4,544","884","019.5"
"20172","59,050","10,820","018.3","18,600","4,643","025.0","36,140","5,446","015.1","4,320","726","016.8"
"2017","59,050","10,790","018.3","18,580","4,639","025.0","36,160","5,415","015.0","4,322","736","017.0"
"2016","57,560","11,140","019.4","18,390","4,890","026.6","35,110","5,542","015.8","4,057","706","017.4"
"2015","56,780","12,130","021.4","18,230","5,269","028.9","34,690","6,188","017.8","3,863","676","017.5"
"2014","55,500","13,100","023.6","18,000","5,745","031.9","33,870","6,701","019.8","3,636","658","018.1"
"20133","54,180","13,360","024.7","17,900","5,907","033.0","32,840","6,746","020.5","3,443","704","020.4"
"20134","54,150","12,740","023.5","17,840","5,415","030.4","32,900","6,654","020.2","3,405","676","019.8"
"2012","53,110","13,620","025.6","17,660","5,976","033.8","32,230","6,977","021.6","3,213","663","020.6"
"2011","52,280","13,240","025.3","17,600","6,008","034.1","31,640","6,667","021.1","3,036","569","018.7"
"20105","50,970","13,520","026.5","17,370","6,059","034.9","30,740","6,948","022.6","2,860","516","018.0"
"2009","48,810","12,350","025.3","16,970","5,610","033.1","29,030","6,224","021.4","2,815","516","018.3"
"2008","47,400","10,990","023.2","16,370","5,010","030.6","28,310","5,452","019.3","2,717","525","019.3"
"2007","45,930","9,890","021.5","15,650","4,482","028.6","27,730","4,970","017.9","2,555","438","017.1"
"2006","44,780","9,243","020.6","15,150","4,072","026.9","27,210","4,698","017.3","2,428","472","019.4"
"2005","43,020","9,368","021.8","14,650","4,143","028.3","26,050","4,765","018.3","2,315","460","019.9"
"20046","41,690","9,122","021.9","14,170","4,098","028.9","25,320","4,620","018.2","2,194","403","018.4"
"2003","40,300","9,051","022.5","13,730","4,077","029.7","24,490","4,568","018.7","2,080","406","019.5"
"2002","39,220","8,555","021.8","13,210","3,782","028.6","23,950","4,334","018.1","2,053","439","021.4"
"2001","37,310","7,997","021.4","12,760","3,570","028.0","22,650","4,014","017.7","1,896","413","021.8"
"20007","35,960","7,747","021.5","12,400","3,522","028.4","21,730","3,844","017.7","1,822","381","020.9"
"19998","34,630","7,876","022.7","12,190","3,693","030.3","20,780","3,843","018.5","1,661","340","020.5"
"1998","31,520","8,070","025.6","11,150","3,837","034.4","18,670","3,877","020.8","1,696","356","021.0"
"1997","30,640","8,308","027.1","10,800","3,972","036.8","18,220","3,951","021.7","1,617","384","023.8"
"1996","29,610","8,697","029.4","10,510","4,237","040.3","17,590","4,089","023.3","1,516","370","024.4"
"19959","28,340","8,574","030.3","10,210","4,080","040.0","16,670","4,153","024.9","1,458","342","023.5"
"199410","27,440","8,416","030.7","9,822","4,075","041.5","16,190","4,018","024.8","1,428","323","022.6"
"199311","26,560","8,126","030.6","9,462","3,873","040.9","15,710","3,956","025.2","1,390","297","021.4"
"199212","25,650","7,592","029.6","9,081","3,637","040.0","15,270","3,668","024.0","1,298","287","022.1"
"199113","22,070","6,339","028.7","7,648","3,094","040.4","13,280","3,008","022.7","1,143","237","020.8"
"1990","21,410","6,006","028.1","7,457","2,865","038.4","12,860","2,896","022.5","1,091","245","022.5"
"1989","20,750","5,430","026.2","7,186","2,603","036.2","12,540","2,616","020.9","1,024","211","020.6"
"198814","20,060","5,357","026.7","7,003","2,631","037.6","12,060","2,501","020.7","1,005","225","022.4"
"198714","19,400","5,422","028.0","6,792","2,670","039.3","11,720","2,509","021.4","885","243","027.5"
"1986","18,760","5,117","027.3","6,646","2,507","037.7","11,210","2,406","021.5","906","204","022.5"
"198515","18,080","5,236","029.0","6,475","2,606","040.3","10,690","2,411","022.6","915","219","023.9"
"198416","16,920","4,806","028.4","6,068","2,376","039.2","10,030","2,254","022.5","819","176","021.5"
"1983","16,540","4,633","028.0","6,066","2,312","038.1","9,697","2,148","022.5","782","173","022.1"
"1982","14,390","4,301","029.9","5,527","2,181","039.5","8,262","1,963","023.8","596","159","026.6"
"198117","14,020","3,713","026.5","5,369","1,925","035.9","8,084","1,642","020.3","568","146","025.7"
"1980","13,600","3,491","025.7","5,276","1,749","033.2","7,740","1,563","020.2","582","179","030.8"
"197918","13,370","2,921","021.8","5,483","1,535","028.0","7,314","1,232","016.8","574","154","026.8"
"1978","12,080","2,607","021.6","5,012","1,384","027.6","6,527","1,098","016.8","539","125","023.2"
"1977","12,050","2,700","022.4","5,028","1,422","028.3","6,500","1,164","017.9","518","113","021.9"
"1976","11,270","2,783","024.7","4,771","1,443","030.2","6,034","1,212","020.1","464","128","027.7"
"1975","11,120","2,991","026.9","N","N","N","N","N","N","N","137","032.6"
"197419","11,200","2,575","023.0","N","N","N","N","N","N","N","117","028.9"
"1973","10,800","2,366","021.9","N","N","N","N","N","N","N","95","024.9"
"N Not available.","","","","","","","","","","","",""
"1 Implementation of 2020 Census-based population controls.","","","","","","","","","","","",""
"2 Estimates reflect the implementation of an updated processing system and should be used to make comparisons to 2018 and subsequent years.","","","","","","","","","","","",""
"3 The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were eligible to receive the redesigned set of health insurance coverage questions. The redesigned income questions were implemented to a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC and the remaining 30,000 addresses were eligible to receive the redesigned income questions. The source of these 2013 estimates is the portion of the CPS ASEC sample that received the redesigned income questions, approximately 30,000 addresses.","","","","","","","","","","","",""
"4 The source of these 2013 estimates is the portion of the CPS ASEC sample that received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.","","","","","","","","","","","",""
"5 Implementation of 2010 Census-based population controls.","","","","","","","","","","","",""
"6 Data have been revised to reflect a correction to the weights in the 2005 CPS ASEC.","","","","","","","","","","","",""
"7 Implementation of a 28,000-household sample expansion.","","","","","","","","","","","",""
"8 Implementation of 2000 Census-based population controls.","","","","","","","","","","","",""
"9 Full implementation of 1990 Census-based sample design and metropolitan definitions, 7,000-household sample reduction, and revised editing of responses on race.","","","","","","","","","","","",""
"10 Introduction of 1990 Census-based sample design.","","","","","","","","","","","",""
"11 Data collection method changed from paper and pencil to computer-assisted interviewing. In addition, the 1994 CPS ASEC was revised to allow for the coding of different income amounts on selected questionnaire items. Limits either increased or decreased in the following categories: earnings limits increased to $999,999; Social Security limits increased to $49,999; Supplemental Security Income and public assistance limits increased to $24,999; veterans' benefits limits increased to $99,999; child support and alimony limits decreased to $49,999.","","","","","","","","","","","",""
"12 Implementation of 1990 Census-based population controls.","","","","","","","","","","","",""
"13 Estimates are revised to correct for nine omitted weights from the original 1992 CPS ASEC. More information is available in ""Money Income of Households, Families, and Persons in the United States: 1992,"" P60-184.","","","","","","","","","","","",""
"14 Estimates reflect the implementation of a new CPS ASEC processing system and are also revised to reflect corrections to the files after publication of the 1988 advance report ""Money Income and Poverty Status in the United States: 1988,"" P60-166.","","","","","","","","","","","",""
"15 Full implementation of 1980 Census-based sample design.","","","","","","","","","","","",""
"16 Implementation of Hispanic population weighting controls and introduction of 1980 Census-based sample design.","","","","","","","","","","","",""
"17 Implemented three technical changes to the poverty definition. More information is available in ""Characteristics of the Population Below the Poverty Level: 1980,"" P60-133.","","","","","","","","","","","",""
"18 Implementation of 1980 Census-based population controls. Questionnaire expanded to show 27 possible values from 51 possible sources of income.","","","","","","","","","","","",""
"19 Implementation of a new CPS ASEC processing system. Questionnaire expanded to ask 11 income questions.","","","","","","","","","","","",""
"20 Full implementation of 1970 Census-based sample design.","","","","","","","","","","","",""
"21 Introduction of 1970 Census-based sample design and population controls.","","","","","","","","","","","",""
"22 Implementation of a new CPS ASEC processing system.","","","","","","","","","","","",""
"23 Beginning with the 2003 CPS ASEC, respondents were allowed to choose one or more races. White alone refers to people who reported White and did not report any other race category. The use of this single-race population does not imply that it is the preferred method of presenting or analyzing the data. The Census Bureau uses a variety of approaches.","","","","","","","","","","","",""
"24 For the year 2001 and earlier, the CPS ASEC allowed respondents to report only one race group.","","","","","","","","","","","",""
"25 Black alone refers to people who reported Black and did not report any other race category.","","","","","","","","","","","",""
"26 Asian alone refers to people who reported Asian and did not report any other race category.","","","","","","","","","","","",""
"27 American Indian and Alaska Native alone refers to people who reported American Indian and Alaska Native and did not report any other race category.","","","","","","","","","","","",""
"28 Since Hispanic individuals may be any race, data in this report for the Hispanic population overlap with data for race groups. Of those who reported only one race, Hispanic origin was reported by 16.7 percent of White householders, 5.9 percent of Black householders, 2.7 percent of Asian householders, and 33.4 percent of American Indian and Alaska Native householders. Data users should exercise caution when interpreting aggregate results for the Hispanic population or for race groups because these populations  onsist of many distinct groups that differ in socioeconomic characteristics, culture, and nativity. Data were first collected for Hispanic individuals in 1972 and for Asian and Pacific Islander and American Indian and Alaska Native individuals in 1987. More information is  vailable at <www.census.gov/programs-surveys/cps.html>.","","","","","","","","","","","",""
"Note: Details may not sum to totals due to rounding. Estimates may differ from previous publications due to additional rounding implemented to protect respondent privacy.","","","","","","","","","","","",""
"Source: U.S. Census Bureau, Current Population Survey, 1960 to 2023 Annual Social and Economic Supplements (CPS ASEC).","","","","","","","","","","","",""
